Unnamed: 0,Name,Actor,Genre,Directors,Maturity,Story-line,Popularity,tconst,averageRating,imdb_rank,page_rank,page_rank_int
80105067,Middle School: The Worst Years of My Life,"Griffin Gluck, Lauren Graham, Rob Riggle","Hollywood Films, Children & Family Films, Comedies, Wacky Comedies",Steve Carr,7+ ,"At Hills Village Middle School, budding cartoonist Rafe and best pal Leo challenge their uptight principal by breaking every rule in his handbook.",Lauren Graham plays prankster Rafe's mom in this adaptation of James Patterson's best-selling novel.,tt4981636,6.1,590.5,0.0003947108649964648,269.0
80020540,Richie Rich,"Jake Brennan, Joshua Carlon, Lauren Taylor","Series, TV Programmes based on Comics, Kids’ Programmes, Comedy Programmes",,7+ ,"After turning his veggies into green energy, Richie Rich earns a trillion dollars overnight and a new life filled with nonstop fun and adventure.",,tt4160920,3.5,734.5,0.0018626800318353072,141.0
80184379,The Who Was? Show,"Haley Tju, Adam Hochstetter, Kirrilee Berger","Series, TV Programmes based on Books, Kids’ Programmes, Education, Comedy Programmes, Education & Guidance",,7+ ,Fresh voices bring some of the most famous names in history to life. A live-action sketch comedy show based on the series of best-selling books.,"A diverse cast of teens star, with appearances by Ellie Kemper, Jane Krakowski, Andy Daly, H. Jon Benjamin and more.",tt7488702,6.2,571.0,0.0004391737967079532,257.0
80063989,Lost & Found Music Studios,"Victoria Baldesarra, Sarah Carmosino, Jordan Clark","Music & Musicals, Kids' Music, Series, Canadian TV Programmes, Kids’ Programmes, Drama Programmes",,7+ ,"Teen singers-songwriters in an elite music program form bonds of friendship, creativity and romance while turning their passion into their profession.","Trevor Tordjman, Victoria Baldesarra, Shane Harte, Levi Randall and others play their ""Next Step"" roles in this spinoff.",tt5023972,7.1,357.5,0.0001282874828656755,384.0
80142550,The Break,"Yoann Blanc, Guillaume Kerbush, Anne Coesens","Series, Belgian TV Shows, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,"A police detective mourning a painful loss moves back to his peaceful hometown, only to be drawn into a murder case that dredges up dark secrets.",Won Best French-Language Series at the 2016 Series Mania Festival.,tt7053138,7.6,224.0,9.038495993450884e-05,472.0
80208337,La Mante,"Carole Bouquet, Fred Testot, Pascal Demolon","Series, French TV Programmes, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,"Decades after her capture, a serial killer offers to help solve a string of copycat murders -- but only if her son, now a cop, will work by her side.",,tt6467482,7.5,242.5,8.515555656151148e-05,491.0
80186459,The Frozen Dead,"Charles Berling, Julia Piaton, Pascal Greggory","Series, French TV Programmes, TV Programmes based on Books, Crime Programmes, Drama Programmes",,16+ ,A grisly find atop a mountain in the French Pyrenees leads investigator Martin Servaz into a twisted dance with a serial killer in this icy thriller.,"Based on a best-selling novel by Bernard Minier, this series stars César nominees Charles Berling and Pascal Greggory.",tt0060434,5.1,686.5,8.462303015615259e-05,493.0
80145143,Bordertown,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo","Series, Crime Programmes, Drama Programmes, Mystery Programmes",,16+ ,A gifted detective takes a job in a small town so he can spend more time with his family. But he's soon drawn into a web of disturbing murder cases.,"This moody crime series swept Finland's top TV awards, winning Best Drama, Best Actor and Best Actress.",tt3323254,5.3,672.5,7.394756182410131e-05,541.0
80117555,Seven Seconds,"Clare-Hope Ashitey, Regina King, Beau Knapp","Series, Award-winning TV Programmes, American Programmes, Crime Programmes, Drama Programmes",,16+ ,The death of a 15-year-old African American boy in Jersey City sets off a police cover-up and a search for the truth.,"Regina King won an Emmy for her role in this crime drama series from Veena Sud (""The Killing”).",tt6297682,7.7,203.5,0.0001060958249241305,429.0
80988835,The Tribe,"Paco León, Carmen Machi, Luis Bermejo","International Films, Spanish Films, Comedies, Wacky Comedies",Fernando Colomo,13+ ,"An executive-turned-viral sensation loses his reputation and his memory, but finds a new life with his biological mother and her empowered dance group.",Won Best Film and Best Actress (Carmen Machi for her performance as Virginia) at the Monte-Carlo Comedy Film Festival.,tt3953186,4.6,708.5,,
